dataset_name,lab_subject_id,eng_exposure,eng_ws_produced,fr_exposure,fr_ws_produced,eng_wg_understood,eng_wg_produced,eng_wsshort_produced,eng_ws_understood
mahr_coartic,07,NA,NA,NA,NA,NA,NA,20,NA
mahr_coartic,08,NA,NA,NA,NA,NA,NA,53,NA
mahr_coartic,09,NA,NA,NA,NA,NA,NA,8,NA
mahr_coartic,10,NA,NA,NA,NA,NA,NA,52,NA
mahr_coartic,11,NA,NA,NA,NA,NA,NA,83,NA
mahr_coartic,12,NA,NA,NA,NA,NA,NA,19,NA
mahr_coartic,13,NA,NA,NA,NA,NA,NA,84,NA
mahr_coartic,14,NA,NA,NA,NA,NA,NA,51,NA
mahr_coartic,15,NA,NA,NA,NA,NA,NA,NA,NA
mahr_coartic,16,NA,NA,NA,NA,NA,NA,6,NA
mahr_coartic,17,NA,NA,NA,NA,NA,NA,44,NA
mahr_coartic,18,NA,NA,NA,NA,NA,NA,30,NA
mahr_coartic,19,NA,NA,NA,NA,NA,NA,42,NA
mahr_coartic,20,NA,NA,NA,NA,NA,NA,42,NA
mahr_coartic,21,NA,NA,NA,NA,NA,NA,6,NA
mahr_coartic,22,NA,NA,NA,NA,NA,NA,8,NA
mahr_coartic,23,NA,NA,NA,NA,NA,NA,58,NA
mahr_coartic,24,NA,NA,NA,NA,NA,NA,13,NA
mahr_coartic,25,NA,NA,NA,NA,NA,NA,NA,NA
mahr_coartic,26,NA,NA,NA,NA,NA,NA,35,NA
mahr_coartic,27,NA,NA,NA,NA,NA,NA,73,NA
mahr_coartic,28,NA,NA,NA,NA,NA,NA,55,NA
mahr_coartic,29,NA,NA,NA,NA,NA,NA,16,NA
mahr_coartic,30,NA,NA,NA,NA,NA,NA,26,NA
mahr_coartic,31,NA,NA,NA,NA,NA,NA,27,NA
mahr_coartic,32,NA,NA,NA,NA,NA,NA,56,NA
mahr_coartic,33,NA,NA,NA,NA,NA,NA,66,NA
mahr_coartic,34,NA,NA,NA,NA,NA,NA,79,NA
mahr_coartic,35,NA,NA,NA,NA,NA,NA,NA,NA
mahr_coartic,36,NA,NA,NA,NA,NA,NA,66,NA
mahr_coartic,37,NA,NA,NA,NA,NA,NA,28,NA
mahr_coartic,38,NA,NA,NA,NA,NA,NA,53,NA
mahr_coartic,39,NA,NA,NA,NA,NA,NA,7,NA
mahr_coartic,40,NA,NA,NA,NA,NA,NA,69,NA
swingley_aslin_2002,12,NA,6,NA,NA,NA,NA,NA,251
swingley_aslin_2002,13,NA,14,NA,NA,NA,NA,NA,193
swingley_aslin_2002,14,NA,30,NA,NA,NA,NA,NA,239
swingley_aslin_2002,15,NA,10,NA,NA,NA,NA,NA,39
swingley_aslin_2002,16,NA,62,NA,NA,NA,NA,NA,161
swingley_aslin_2002,17,NA,119,NA,NA,NA,NA,NA,178
swingley_aslin_2002,18,NA,88,NA,NA,NA,NA,NA,158
swingley_aslin_2002,19,NA,2,NA,NA,NA,NA,NA,116
swingley_aslin_2002,21,NA,0,NA,NA,NA,NA,NA,38
swingley_aslin_2002,25,NA,25,NA,NA,NA,NA,NA,182
swingley_aslin_2002,26,NA,28,NA,NA,NA,NA,NA,149
swingley_aslin_2002,35,NA,31,NA,NA,NA,NA,NA,204
swingley_aslin_2002,39,NA,3,NA,NA,NA,NA,NA,296
swingley_aslin_2002,40,NA,34,NA,NA,NA,NA,NA,196
swingley_aslin_2002,42,NA,38,NA,NA,NA,NA,NA,199
swingley_aslin_2002,43,NA,10,NA,NA,NA,NA,NA,118
swingley_aslin_2002,44,NA,36,NA,NA,NA,NA,NA,162
swingley_aslin_2002,45,NA,20,NA,NA,NA,NA,NA,188
swingley_aslin_2002,46,NA,0,NA,NA,NA,NA,NA,18
swingley_aslin_2002,47,NA,19,NA,NA,NA,NA,NA,103
swingley_aslin_2002,48,NA,18,NA,NA,NA,NA,NA,110
swingley_aslin_2002,51,NA,1,NA,NA,NA,NA,NA,279
swingley_aslin_2002,52,NA,54,NA,NA,NA,NA,NA,166
swingley_aslin_2002,54,NA,1,NA,NA,NA,NA,NA,224
swingley_aslin_2002,56,NA,4,NA,NA,NA,NA,NA,44
swingley_aslin_2002,57,NA,2,NA,NA,NA,NA,NA,187
swingley_aslin_2002,58,NA,5,NA,NA,NA,NA,NA,115
swingley_aslin_2002,59,NA,28,NA,NA,NA,NA,NA,126
swingley_aslin_2002,60,NA,0,NA,NA,NA,NA,NA,35
swingley_aslin_2002,63,NA,12,NA,NA,NA,NA,NA,167
swingley_aslin_2002,65,NA,3,NA,NA,NA,NA,NA,178
swingley_aslin_2002,67,NA,6,NA,NA,NA,NA,NA,37
swingley_aslin_2002,68,NA,1,NA,NA,NA,NA,NA,18
swingley_aslin_2002,76,NA,17,NA,NA,NA,NA,NA,150
swingley_aslin_2002,77,NA,11,NA,NA,NA,NA,NA,95
swingley_aslin_2002,78,NA,150,NA,NA,NA,NA,NA,75
swingley_aslin_2002,80,NA,14,NA,NA,NA,NA,NA,200
swingley_aslin_2002,81,NA,4,NA,NA,NA,NA,NA,264
swingley_aslin_2002,83,NA,26,NA,NA,NA,NA,NA,241
swingley_aslin_2002,84,NA,10,NA,NA,NA,NA,NA,98
swingley_aslin_2002,85,NA,13,NA,NA,NA,NA,NA,244
swingley_aslin_2002,87,NA,5,NA,NA,NA,NA,NA,215
swingley_aslin_2002,88,NA,56,NA,NA,NA,NA,NA,193
swingley_aslin_2002,90,NA,22,NA,NA,NA,NA,NA,65
swingley_aslin_2002,91,NA,6,NA,NA,NA,NA,NA,283
swingley_aslin_2002,92,NA,31,NA,NA,NA,NA,NA,137
swingley_aslin_2002,93,NA,7,NA,NA,NA,NA,NA,75
swingley_aslin_2002,96,NA,9,NA,NA,NA,NA,NA,190
swingley_aslin_2002,98,NA,15,NA,NA,NA,NA,NA,98
swingley_aslin_2002,100,NA,2,NA,NA,NA,NA,NA,111
